-rwxr-xr-x 1 root root 3.1M Dec  3 09:01 /usr/bin/x86_64-linux-gnu-ld.gold
-rw-r----- 1 syslog adm 3.0M Jan 22 01:57 /var/log/kern.log
-rw-r--r-- 1 root root 3.0M Jul  4  2025 /usr/lib/x86_64-linux-gnu/libprotobuf.so.32.0.12
-rw-r--r-- 1 root root 2.9M Apr  8  2024 /usr/lib/x86_64-linux-gnu/libexiv2.so.0.27.6
-rw-r--r-- 1 root root 2.9M Aug 27  2022 /usr/share/ieee-data/oui.csv
-rw-r--r-- 1 root root 2.9M Oct 23 00:20 /usr/lib/gnome-shell/libshell-14.so
-rw-rw-r-- 1 sibus sibus 2.9M Dec  5 10:50 /home/sibus/.phpls/3%3Asymfony%2Fconsole%3A7.4.0
-rw-r--r-- 1 root root 2.8M Apr  5  2024 /usr/lib/x86_64-linux-gnu/libavformat.so.60.16.100
-rw-r--r-- 1 root root 2.8M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/System.Data.Common.dll
-rw-rw-r-- 1 sibus sibus 2.8M Dec 27 02:40 /home/sibus/.phpls/3%3Asymfony%2Fconsole%3A7.3.6
-rw-rw-r-- 1 sibus sibus 2.8M Dec  5 10:39 /home/sibus/.phpls/3%3Apestphp%2Fpest-plugin-mutate%3A4.0.1
-rwxr-xr-x 1 root root 2.8M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/gozip
-rwxr-xr-x 1 root root 2.8M Sep 18 03:00 /usr/lib/snapd/snap-failure
-rw-r--r-- 1 root root 2.7M Dec  5 09:49 /var/cache/debconf/templates.dat
-rw-r--r-- 1 root root 2.7M Dec  5 09:49 /var/cache/debconf/templates.dat-old
-rw-r--r-- 1 root root 2.7M Oct 30 08:26 /usr/lib/x86_64-linux-gnu/libxml2.a
-rwxr-xr-x 1 root root 2.7M Sep 18 03:00 /usr/lib/snapd/snap-gpio-helper
-rw-rw-r-- 1 sibus sibus 2.6M Dec  5 10:38 /home/sibus/.phpls/3%3Amonolog%2Fmonolog%3A3.9.0
-rw-rw-r-- 1 sibus sibus 2.6M Dec  5 10:40 /home/sibus/.phpls/3%3Adompdf%2Fdompdf%3A3.1.4
-rw-r--r-- 1 root root 2.5M Sep 17 09:55 /usr/lib/x86_64-linux-gnu/libm-2.39.a
-rw-r--r-- 1 root root 2.5M Sep  9  2024 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
-rw-rw-r-- 1 sibus sibus 2.5M Dec 27 02:40 /home/sibus/.phpls/3%3Asymfony%2Fhttp-kernel%3A7.3.7
-rw-rw-r-- 1 sibus sibus 2.5M Dec 31 01:57 /home/sibus/.phpls/3%3Asymfony%2Fconsole%3A7.2.1
-rw-rw-r-- 1 sibus sibus 2.5M Dec  5 10:39 /home/sibus/.phpls/3%3Apestphp%2Fpest%3A4.1.4
-rw-rw-r-- 1 sibus sibus 2.5M Dec  5 10:51 /home/sibus/.phpls/3%3Asymfony%2Fhttp-kernel%3A7.4.0
-rwxr-xr-x 1 root root 2.5M Oct 23 00:20 /usr/libexec/gnome-shell-perf-helper
-rwxr-xr-x 1 root root 2.5M Oct 23 12:29 /usr/lib/xorg/Xorg
-rw-r--r-- 1 root root 2.4M Apr  8  2024 /usr/share/libchewing/index_tree.dat
-rw-r--r-- 1 root root 2.4M Aug 27  2022 /usr/share/ieee-data/iab.txt
-rw-r--r-- 1 root root 2.4M Aug  5 11:53 /var/lib/aspell/en-common.rws
-rw-r--r-- 1 root root 2.4M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/libmscordaccore.so
-rw-r--r-- 1 root root 2.4M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/Microsoft.CodeAnalysis.dll
-rw-r--r-- 1 root root 2.4M Dec  4 14:46 /boot/grub/fonts/unicode.pf2
-rw-r--r-- 1 root root 2.4M Dec  4 14:46 /boot/grub/unicode.pf2
-rw-r--r-- 1 root root 2.4M Mar 17  2025 /usr/share/grub/unicode.pf2
-rw-r--r-- 1 root root 2.4M Mar 31  2024 /usr/lib/x86_64-linux-gnu/libqpdf.so.29.9.0
-rw-r--r-- 1 root root 2.4M Sep 11 13:06 /usr/lib/x86_64-linux-gnu/libsqlite3.a
-rw-rw-r-- 1 sibus sibus 2.4M Dec 31 01:58 /home/sibus/.phpls/3%3Asymfony%2Fhttp-kernel%3A7.2.2
-rwxr-xr-x 1 root root 2.4M Oct 23 12:29 /usr/bin/Xephyr
-rwxr-xr-x 1 root root 2.4M Sep 18 03:00 /usr/lib/snapd/snapd-apparmor
-rwxr-xr-x 1 root root 2.4M Sep 18 03:00 /usr/lib/snapd/snap-seccomp
-rw------- 1 sibus sibus 2.3M Jan 18 23:00 /tmp/node-compile-cache/v22.21.1-x64-b46c4e36-1000/27e694b9
-rw------- 1 sibus sibus 2.3M Jan 19 00:49 /tmp/node-compile-cache/v22.21.1-x64-b46c4e36-1000/f2c702f4
-rw-r--r-- 1 root root 2.3M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/Microsoft.AspNetCore.Server.Kestrel.Core.dll
-rw-r--r-- 1 root root 2.3M Dec  3 09:01 /usr/lib/x86_64-linux-gnu/libgprofng.so.0.0.0
-rw-r--r-- 1 root root 2.3M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libadwaita-1.so.0
-rw-r--r-- 1 root root 2.3M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libfftw3f.so.3.6.10
-rw-r--r-- 1 root root 2.3M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libgiomm-2.68.so.1.3.0
-rw-r--r-- 1 root root 2.3M Nov 11 02:36 /usr/lib/x86_64-linux-gnu/libmutter-14.so.0.0.0
-rw-r--r-- 1 root root 2.2M Apr  7  2024 /usr/lib/x86_64-linux-gnu/libflite_cmu_grapheme_lex.so.2.2
-rw-r--r-- 1 root root 2.2M Jul  7  2025 /usr/lib/x86_64-linux-gnu/libfreerdp3.so.3.5.1
-rw-r--r-- 1 root root 2.2M Mar 30  2024 /usr/lib/x86_64-linux-gnu/libfftw3.so.3.6.10
-rw-rw-r-- 1 sibus sibus 2.2M Dec 27 02:39 /home/sibus/.phpls/3%3Asymfony%2Fhttp-foundation%3A7.3.7
-rw-rw-r-- 1 sibus sibus 2.2M Dec  5 10:39 /home/sibus/.phpls/3%3Anesbot%2Fcarbon%3A3.10.3
-rw-rw-r-- 1 sibus sibus 2.2M Dec  5 10:50 /home/sibus/.phpls/3%3Asymfony%2Fhttp-foundation%3A7.4.0
-rwxr-xr-x 1 root root 2.2M Feb  4  2025 /usr/bin/bpftrace
-rwxr-xr-x 1 root root 2.2M Oct 23 13:29 /usr/bin/Xwayland
-rw-r--r-- 1 root root 2.1M Apr 16  2024 /usr/lib/x86_64-linux-gnu/libbcc.so.0.29.1
-rw-r--r-- 1 root root 2.1M Aug  8  2024 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
-rw-r--r-- 1 root root 2.1M Dec 16 12:25 /usr/lib/azure-functions-core-tools-4/System.Private.DataContractSerialization.dll
